molecule_chembl_id,IC50,Units,SmilesValue,standard type,standard relation,document chembl id,assay description,assay type,activity id,pIC50
CHEMBL4466921,5130,nM,Cc1c(NC(=O)c2cc(CN3CCCC[C@H]3C(=O)O)cn3cnnc23)cccc1-c1ccccc1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218167,5.289882635
CHEMBL4471246,3694,nM,Cc1c(NC(=O)c2cc(CNCCS(N)(=O)=O)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218157,5.432503109
CHEMBL4475015,565.8,nM,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C)c2nncn2c1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218159,6.247337057
CHEMBL4516321,2.5,nM,CC(=O)NCCNCc1cc(C)c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cncc(C#N)c1,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884512,8.602059991
CHEMBL4519100,754.7,nM,Cc1c(NC(=O)c2cc(CN(C)CCO)cn3cnnc23)cccc1-c1ccccc1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218179,6.12222565
CHEMBL4520349,274.6,nM,N#Cc1c(NC(=O)c2cc(CNCCO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218156,6.561299467
CHEMBL4520858,5566,nM,Cc1c(NC(=O)c2cc(CN[C@H](CO)C(=O)O)cn3cnnc23)cccc1-c1ccccc1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218169,5.254456798
CHEMBL4525587,25,nM,COc1nc(OCc2cccc(-c3cccc(COc4ccc(CNCCNC(C)=O)c(OC)n4)c3C)c2C)ccc1CNCCNC(C)=O,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884514,7.602059991
CHEMBL4528795,3.8,nM,CCNCc1cc(C)c(OCc2cccc(-c3cccc(COc4cc(OCc5cncc(C#N)c5)c(CNCC)cc4C)c3C)c2C)cc1OCc1cncc(C#N)c1,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884516,8.420216403
CHEMBL4529967,0.00008,nM,N#Cc1cc(COc2cc(CCc3cccc(-c4ccccc4)c3Br)c(Cl)cc2CN2CCCC[C@H]2C(=O)O)ccn1,IC50,=,CHEMBL4330055,Inhibition of recombinant human PD1 (25 to 167 residues)/human PDL1 (19 to 238 residues) interaction after 40 mins by HTRF assay,B,18946745,13.09691001
CHEMBL4537970,18,nM,Cc1c(/C=C/c2cc(CNC(C)(CO)C(=O)O)ccc2C(F)(F)F)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4330055,Inhibition of PD1/PDL1 (unknown origin) interaction by HTRF assay,B,18946732,7.744727495
CHEMBL4541583,733.3,nM,Cc1c(NC(=O)c2cc(CNCCO)cn3cnnc23)cccc1-c1ccccc1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218178,6.134718315
CHEMBL4543102,473.8,nM,Cc1c(NC(=O)c2cc(CN(C)CC(O)CO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218160,6.324404944
CHEMBL4546533,1487,nM,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccccc3)c2C)c2nncn2c1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218180,5.827689031
CHEMBL4563134,987.8,nM,Cc1c(NC(=O)c2cc(CNCCNS(C)(=O)=O)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218158,6.005330978
CHEMBL4565838,8244,nM,CC(=O)NCCNCc1ccc(OCc2ccc(COc3ccc(CNCCNC(C)=O)c(OCc4cncc(C#N)c4)c3)cc2)cc1OCc1cncc(C#N)c1,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884517,5.083862017
CHEMBL4568718,968.1,nM,Cc1c(NC(=O)c2cc(CN[C@H]3CC[C@H](O)CC3)cn3cnnc23)cccc1-c1ccccc1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218170,6.01407978
CHEMBL4570131,2.4,nM,Cc1cc(C(=O)Nc2cccc(-c3ccccc3)c2C)ncc1CNCCO,IC50,=,CHEMBL5729358,"PD1-PDL1 HTRF Binding Activity Test: The effect of compounds and positive compounds of the examples of the present invention on the interaction between PD-1 and PD-L1 was determined by the PD-1/PD-L1 binding assay kit from Cisbio (#64ICP01PEG or 64ICP01PEH). The detailed experimental process was as follows:1. Pre-diluted compound solution, 4 ?L of Tag1-PD-L1 and 4 ?L of Tag2-PD1 were added to each well of a 384-well plate;2. After the mixture was incubated at room temperature for 15 min, 5 ?L of anti-Tag1-Eu3+ antibody and 5 ?L of anti-Tag2-XL665 antibody were then added;3. After incubated for 2 hrs at room temperature or overnight at 4? C., plates were read on Envision of Pelkin Elmer; and readings at 665 nm and 620 nm were recorded, and the ratio of the two readings was taken as a reading for each well;4. The reading of each well after compound treatment was compared with the reading of DMSO treated wells to obtain the percent inhibition of the compound; and5. IC50 values of compounds and positive compounds of the examples of the present invention were determined by non-linear regression analysis of percent inhibition at different compound concentrations.",B,28821242,8.619788758
CHEMBL4575618,3,nM,CC(=O)NCCNCc1cc(C)c(OCc2cccc(-c3cccc(COc4cc(OCc5cncc(C#N)c5)c(CNCCNC(C)=O)cc4C)c3C)c2C)cc1OCc1cncc(C#N)c1,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884515,8.522878745
CHEMBL4585754,36,nM,Cc1c(/C=C/c2ncc(CNC(CO)C(=O)O)cc2C(F)(F)F)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4330055,Inhibition of PD1/PDL1 (unknown origin) interaction by HTRF assay,B,18946733,7.443697499
CHEMBL4585805,462,nM,CC(=O)NCCNCc1ccc(OCc2ccc(COc3ccc(CNCCNC(C)=O)c(OCc4cncc(C#N)c4)c3)c3ccccc23)cc1OCc1cncc(C#N)c1,IC50,=,CHEMBL4311949,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,18884519,6.335358024
CHEMBL4586685,92.3,nM,Cc1c(NC(=O)c2cc(CNCCO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218162,7.034798299
CHEMBL4592820,1347,nM,Cc1c(NC(=O)c2cc(CN3CCN(C)CC3)cn3cnnc23)cccc1-c1ccccc1,IC50,=,CHEMBL4393667,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,19218171,5.870632404
CHEMBL4633433,407.5,nM,CC(=O)N1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)CC1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676196,6.389872387
CHEMBL4635668,5153,nM,CCN(CC)CCCNc1cc(N2CCNCC2)nc(NCc2cccc(-c3ccccc3)c2C)n1,IC50,=,CHEMBL4622943,Inhibition of PD1 (unknown origin)/PDL1 (unknown origin) protein-protein interaction by HTRF assay,B,20690166,5.287939858
CHEMBL4635932,9,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@H](C(=O)O)[C@@H](C)O)cc2Cl)cccc1-c1ccccc1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676242,8.045757491
CHEMBL4636074,800000,nM,N#Cc1cccc(COc2cc(OCc3cccc(-c4ccccc4)c3Br)c(Cl)cc2CN2CCCC[C@H]2C(=O)O)c1,IC50,=,CHEMBL4613205,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20641438,3.096910013
CHEMBL4636606,55,nM,Cc1c(Nc2cccc3cc(CNCCO)cnc23)cccc1-c1ccccc1,IC50,=,CHEMBL5729504,"PD-1/PD-L1 Homogeneous Time-Resolved Fluorescence (HTRF) Binding Assay: The assays were conducted in a standard black 384-well polystyrene plate with a final volume of 20 ?L. Inhibitors were first serially diluted in DMSO and then added to the plate wells before the addition of other reaction components. The final concentration of DMSO in the assay was 1%. The assays were carried out at 250 C in the PBS buffer (pH 7.4) with 0.05% Tween-20 and 0.1% BSA. Recombinant human PD-L1 protein (19-238) with a His-tag at the C-terminus was purchased from AcroBiosystems (PD1-H5229). Recombinant human PD-1 protein (25-167) with Fc tag at the C-terminus was also purchased from AcroBiosystems (PD1-H5257). PD-L1 and PD-1 proteins were diluted in the assay buffer and 10 ?L was added to the plate well. Plates were centrifuged and proteins were preincubated with inhibitors for 40 minutes. The incubation was followed by the addition of 10 ?L of HTRF detection buffer supplemented with Europium cryptate-labeled anti-human IgG (PerkinElmer-AD0212) specific for Fc and anti-His antibody conjugated to SureLight?-Allophycocyanin (APC, PerkinElmer-AD0059H). After centrifugation, the plate was incubated at 25? C. for 60 min. before reading on a PHERAstar FS plate reader (665 nm/620 nm ratio).",B,28879655,7.259637311
CHEMBL4636767,0.5,nM,Cc1c(COc2cc(OCc3cncc(C#N)c3)c(CN(C)C(CO)(CO)CO)cc2Cl)cccc1-c1cccc(OCCCN2CCC(F)(F)C2)c1C,IC50,=,CHEMBL4613205,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20641428,9.301029996
CHEMBL4637393,96600,nM,COc1cc2c(c(O)c1CC=C(C)C)C(=O)C[C@@H](c1ccc(O)cc1)O2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676167,4.015022874
CHEMBL4637912,26.3,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNCCN(C)C)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676199,7.580044252
CHEMBL4638536,118.5,nM,Cc1c(COc2cc(OCc3cncc(C#N)c3)c(CNC(C)(CO)C(=O)O)cc2Cl)cccc1-c1cnc2ccccc2n1,IC50,=,CHEMBL4619786,Inhibition of human C-terminal Ig-Fc-tagged PD1 (Leu25 to Gln167 residues) expressed in HEK293 cells/human C-terminal epitope-His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction preincubated for 15 mins with PDL1 followed by PD1 addition and measured after 15 mins by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,20676262,6.92628165
CHEMBL4638650,8,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@H](CO)C(=O)O)cc2Cl)cccc1-c1ccccc1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676239,8.096910013
CHEMBL4639047,55.9,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNCCNC(=O)OC(C)(C)C)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676205,7.252588192
CHEMBL4639202,12.5,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNC(C)(C)C(=O)O)cc2Cl)cccc1-c1ccccc1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676225,7.903089987
CHEMBL4639656,16.7,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(O)C(CO)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676217,7.777283529
CHEMBL4640374,14.5,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(C(=O)O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676212,7.838631998
CHEMBL4640380,19300,nM,Cc1c(/C=C/C(=O)c2cc(CN3CCN(c4cccc([N+](=O)[O-])c4)CC3)ccc2O)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676178,4.714442691
CHEMBL4641122,31.2,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(C(=O)O)C3)cc2Cl)cccc1-c1ccccc1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676224,7.505845406
CHEMBL4641441,15.2,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC[C@@H](C(=O)O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676210,7.818156412
CHEMBL4641485,408.7,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCN(C4CC4)CC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676198,6.388595362
CHEMBL4643467,5300,nM,CC(=O)NCCNCc1ccc(O)c(C(=O)/C=C/c2cccc(-c3ccccc3)c2C)c1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676172,5.27572413
CHEMBL4644097,27.5,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC[C@H](O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676211,7.560667306
CHEMBL4644165,14400,nM,CC(=O)N1CCN(Cc2ccc(O)c(C(=O)/C=C/c3cccc(-c4ccccc4)c3C)c2)CC1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676175,4.841637508
CHEMBL4644681,14600,nM,CCN1CCN(Cc2ccc(O)c(C(=O)/C=C/c3cccc(-c4ccccc4)c3C)c2)CC1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676173,4.835647144
CHEMBL4645569,14.1,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@H](C(=O)O)[C@H](C)O)cc2Cl)cccc1-c1ccccc1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676241,7.850780887
CHEMBL4646181,232.9,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCNCC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676204,6.632830511
CHEMBL4646293,7.9,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC[C@H](C(=O)O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676208,8.102372909
CHEMBL4646486,8.5,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@@H](C(=O)O)[C@H](C)O)cc2Cl)cccc1-c1ccccc1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676240,8.070581074
CHEMBL4646568,12.9,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCC(O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676218,7.88941029
CHEMBL4646667,11.1,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@@H](O)C[C@@H]3CO)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676214,7.954677021
CHEMBL4646794,1400,nM,CC(=O)NCCNCc1ccc2oc(-c3cccc(-c4ccccc4)c3C)cc(=O)c2c1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676185,5.853871964
CHEMBL4648149,14.9,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC[C@@H](O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676209,7.826813732
CHEMBL4648161,10,nM,Cc1c(COc2cc(OCc3ccnc(C#N)c3)c(CNC(C)(C)C(=O)O)cc2Cl)cccc1-c1ccc2ocnc2c1,IC50,=,CHEMBL4619786,Inhibition of human C-terminal Ig-Fc-tagged PD1 (Leu25 to Gln167 residues) expressed in HEK293 cells/human C-terminal epitope-His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction preincubated for 15 mins with PDL1 followed by PD1 addition and measured after 15 mins by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,20676260,8
CHEMBL4648618,25.2,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNC(C)(C)C(=O)O)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676195,7.598599459
CHEMBL4648624,30.4,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676200,7.517126416
CHEMBL4648825,710.5,nM,CCN1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)CC1,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676201,6.148435918
CHEMBL4649236,224.8,nM,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCN(C)CC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,=,CHEMBL4619786,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,20676203,6.648203693
